[10:04:53] Starting annual report AI processing…
[10:04:53] Reading report CSV files …
[10:04:53] Fetching 200 annual report(s)…
[10:04:53]   Downloading report for CIK 0001735707 (2024)…
          "text": "[\n  {\"score\": 5, \"explanation\": \"Large, diversified aircraft leasing company with strong fleet, high liquidity ($8.1B), low customer concentration and stable debt profile; modest risk from higher interest expense but bankruptcy unlikely.\"},\n  {\"score\": 60, \"explanation\": \"Small biotech in development stage with cash burn, regulatory hurdles, limited commercial revenue and reliance on financing; elevated near-term bankruptcy risk.\"},\n  {\"score\": 20, \"explanation\": \"Established manufacturing company with diversified operations (Unifi), facing weak demand and margin pressure but with turnaround plans and access to liquidity; bankruptcy unlikely near-term.\"},\n  {\"score\": 15, \"explanation\": \"Large real-estate/REIT-like filing with extensive property portfolio and diversified rents and financing facilities; leverage present but stable cashflow reduces short-term bankruptcy risk.\"},\n  {\"score\": 25, \"explanation\": \"Investment/finance vehicle with diversified portfolio of leveraged loans and credit investments; credit risk exposure and some high-yield assets but diversified holdings and capital markets access lower immediate bankruptcy probability.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 71094,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 232,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 71326
  },
  "user": null,
  "metadata": {}
}
[10:05:41]   Parsed 5 result(s).
[10:05:41]   Calling AI for batch 3 with 5 report(s)…
[10:05:47]   Raw AI response: {
  "id": "resp_68cd0ed67784819490b581dbef71d0600861d38602c75bf4",
  "object": "response",
  "created_at": 1758269142,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0ed88d1c81948a0c32fbabe3fabe0861d38602c75bf4",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0ed8e9fc81948fb09fd8e3d71cd10861d38602c75bf4",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 2, \"explanation\": \"Large, profitable, well-established fintech (Jack Henry) with stable recurring revenue, strong market position and no distress indicators.\"},\n  {\"score\": 25, \"explanation\": \"New Mountain Finance (BDC) with leveraged credit exposures and portfolio/market risks; liquid but sensitive to credit stress and market volatility.\"},\n  {\"score\": 65, \"explanation\": \"Archer Aviation is pre-revenue, high cash burn, large capital needs, certification/manufacturing and execution risks despite funding and facilities.\"},\n  {\"score\": 5, \"explanation\": \"Trex is a profitable, market-leading manufacturer with strong brand, wide distribution and modest operational risks; bankruptcy unlikely.\"},\n  {\"score\": 10, \"explanation\": \"Charter Communications is a large cash-generating telecom with significant debt but strong scale and predictable cash flows; default risk low near-term.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 65230,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 201,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 65431
  },
  "user": null,
  "metadata": {}
}
[10:05:47]   Parsed 5 result(s).
[10:05:47]   Calling AI for batch 4 with 5 report(s)…
[10:05:54]   Raw AI response: {
  "id": "resp_68cd0edca9708197be34e516e8e93e6608c0072de6b86048",
  "object": "response",
  "created_at": 1758269148,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0edeb4c88197abde191f6ab0663e08c0072de6b86048",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0edee60c8197a1f13978062a2cdf08c0072de6b86048",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\n    \"score\": 10,\n    \"explanation\": \"Small NYSE\u2011listed REIT-like company with limited operations, related\u2011party concentrated receivables but positive auditor opinion and modest cash; going\u2011concern risks limited\u2014low near\u2011term bankruptcy probability.\"\n  },\n  {\n    \"score\": 3,\n    \"explanation\": \"Large, diversified medical device company (Boston Scientific) with substantial market cap, diversified revenue, strong liquidity and controls\u2014very low one\u2011year bankruptcy risk.\"\n  },\n  {\n    \"score\": 8,\n    \"explanation\": \"Mid\u2011large global logistics/warehousing company (Americold) with substantial assets, diversified operations and financing; leverage and refinancing risks exist but bankruptcy within a year unlikely.\"\n  },\n  {\n    \"score\": 65,\n    \"explanation\": \"Microcap operating casino/snack e\u2011commerce rollup with limited history, auditor going\u2011concern warning, negative working capital and heavy owner control\u2014significant near\u2011term solvency risk.\"\n  },\n  {\n    \"score\": 7,\n    \"explanation\": \"Large international betting/gaming group with complex debt and hedging but diversified operations and scale (Flutter); manageable refinancing and low one\u2011year bankruptcy probability.\"\n  }\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 69748,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 270,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 70018
  },
  "user": null,
  "metadata": {}
}
[10:05:54]   Parsed 5 result(s).
[10:05:54]   Calling AI for batch 5 with 5 report(s)…
[10:06:00]   Raw AI response: {
  "id": "resp_68cd0ee3bf2881959e9f58b44c038fe40087d9b95187c439",
  "object": "response",
  "created_at": 1758269155,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0ee5a674819592f3e2e387ffc20b0087d9b95187c439",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0ee5d7608195ab02a7a381370a350087d9b95187c439",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\":10,\"explanation\":\"Clinical-stage biotech with promising Phase 2 signals, Nasdaq listing, modest market cap; primary risk is funding needs but no immediate insolvency indicators.\"},\n  {\"score\":8,\"explanation\":\"Large, diversified NYSE-listed auto dealer with substantial scale, credit facilities and liquidity access; cyclical risks but bankruptcy unlikely within a year.\"},\n  {\"score\":85,\"explanation\":\"Microcap OTC company with negligible cash ($413), working capital deficit >$2.3M, recurring losses, debt in default and auditor going-concern \u2014 high near-term bankruptcy risk.\"},\n  {\"score\":20,\"explanation\":\"Public NYSE American media company with diversified revenue streams, recent financings and JV backing; losses and financing needs exist but low short-term bankruptcy probability.\"},\n  {\"score\":6,\"explanation\":\"Large regulated utility (PNM) with significant diversified operations and debt markets access; regulatory framework and cash flows make bankruptcy highly unlikely within a year.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 70209,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 212,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 70421
  },
  "user": null,
  "metadata": {}
}
[10:06:00]   Parsed 5 result(s).
[10:06:00]   Calling AI for batch 6 with 5 report(s)…
[10:06:23]   Raw AI response: {
  "id": "resp_68cd0ee9e8348193b98b2da99dfb202006c65d58ff6235fa",
  "object": "response",
  "created_at": 1758269161,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0eee71a081939b877b125423ec7f06c65d58ff6235fa",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0eef358481939f1600218044eec606c65d58ff6235fa",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\n    \"score\": 5,\n    \"explanation\": \"Large KKR-backed BDC with diversified portfolio, significant AUM, established adviser and governance; main risks are liquidity/tender offer mechanics but bankruptcy within a year is very unlikely.\"\n  },\n  {\n    \"score\": 40,\n    \"explanation\": \"Small-cap NextPlat with recent acquisitions, low market cap (~$19M), history of conversions and warrants, reliance on e\u2011commerce/healthcare segments and concentrated marketplace channels \u2014 moderate near-term distress risk.\"\n  },\n  {\n    \"score\": 30,\n    \"explanation\": \"NRx Pharmaceuticals is a small biotech with limited market cap (~$21M), typical biotech operational and execution risks but experienced management and Nasdaq listing reduce immediate bankruptcy probability.\"\n  },\n  {\n    \"score\": 8,\n    \"explanation\": \"Collegium is a profitable, Nasdaq-listed specialty pharma with diversified marketed products, sizable market cap and positive cash/credit access; low near-term bankruptcy risk despite opioid market/regulatory risks.\"\n  },\n  {\n    \"score\": 55,\n    \"explanation\": \"Blank\u2011check SPAC with no operating revenue, working through a deferred/extended merger with financing contingencies and sponsor loans; high near-term execution and liquidity risk raising substantial bankruptcy probability.\"\n  }\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 63872,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 279,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 64151
  },
  "user": null,
  "metadata": {}
}
[10:06:23]   Parsed 5 result(s).
[10:06:23]   Calling AI for batch 7 with 5 report(s)…
[10:06:29]   Raw AI response: {
  "id": "resp_68cd0f004a248195bad3fbdebd57fd8807bd7eaf839536a4",
  "object": "response",
  "created_at": 1758269184,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f021eb4819589cd8a28adf2f5ab07bd7eaf839536a4",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f02544c81959b1941b230b18bea07bd7eaf839536a4",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\":10,\"explanation\":\"Connect Biopharma: Clinical\u2011stage biotech with Phase 2 data, partnership and recent milestone payments but ongoing cash burn and need for substantial financing; low near\u2011term bankruptcy risk.\"},\n  {\"score\":60,\"explanation\":\"Target Global Acquisition I Corp.: SPAC with litigation over proposed business combination, repeated deadline extensions and uncertain closing \u2014 moderate to high near\u2011term risk if deal fails.\"},\n  {\"score\":45,\"explanation\":\"Spire Global (10-K/A): disclosed PwC audit issues and going\u2011concern paragraph omitted initially; history of losses and need to meet covenants/transactions \u2014 elevated but not imminent risk.\"},\n  {\"score\":55,\"explanation\":\"Blue Star Foods: micro\u2011cap OTC seafood aggregator with numerous related\u2011party loans, heavy reliance on financing and complex note arrangements \u2014 significant near\u2011term liquidity risk.\"},\n  {\"score\":15,\"explanation\":\"Mission Produce: large, diversified avocado grower/distributor with global footprint, solid scale and liquidity metrics but commodity and covenant risks; low short\u2011term bankruptcy probability.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 64856,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 234,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 65090
  },
  "user": null,
  "metadata": {}
}
[10:06:29]   Parsed 5 result(s).
[10:06:29]   Calling AI for batch 8 with 5 report(s)…
[10:06:40]   Raw AI response: {
  "id": "resp_68cd0f06ecc08193a4830d0bfff29f8a06dc79ad7865a328",
  "object": "response",
  "created_at": 1758269191,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f0ce74c819392d73510b3dc2d0806dc79ad7865a328",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f0dcdc08193920270ef71a7abee06dc79ad7865a328",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[{\"score\":8,\"explanation\":\"Regional community bank with $2.1B assets and $168M equity; regulated, diversified deposits, no distress signals in excerpt.\"},{\"score\":10,\"explanation\":\"Established medical device company with multi-year revenues, FDA approvals, acquisition pending \u2014 low near-term bankruptcy risk.\"},{\"score\":65,\"explanation\":\"Small consumer CEA company with history of losses, auditor going-concern note, extreme customer concentration and limited liquidity.\"},{\"score\":35,\"explanation\":\"Early-stage tech/manufacturing SPAC-related company with significant insider control, complex equity incentives but no explicit insolvency indicators.\"},{\"score\":25,\"explanation\":\"Energy developer with substantial assets and contracts (Shell GSA), but development-stage with financing and execution risk; moderate near-term risk.\"}]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 60984,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 170,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 61154
  },
  "user": null,
  "metadata": {}
}
[10:06:40]   Parsed 5 result(s).
[10:06:40]   Calling AI for batch 9 with 5 report(s)…
[10:07:00]   Raw AI response: {
  "id": "resp_68cd0f11a9b08195b975d253912a295f0e6466081057b9e2",
  "object": "response",
  "created_at": 1758269201,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f1637588195badb6f14072df9ca0e6466081057b9e2",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f17097c8195820870805bad675f0e6466081057b9e2",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 15, \"explanation\": \"Large diversified insurance/reinsurance firm-like XBRL tags; extensive asset mix, regulatory oversight and capital mentions suggest adequate reserves and complexity \u2014 low near-term default risk.\"},\n  {\"score\": 8, \"explanation\": \"Regional title insurer with positive regulatory statements, meeting statutory requirements, modest market cap and stable franchise \u2014 very low near-term bankruptcy risk.\"},\n  {\"score\": 5, \"explanation\": \"Large global advertising group (IPG) with strong market cap, diversified clients and pending merger \u2014 very low bankruptcy probability within a year.\"},\n  {\"score\": 22, \"explanation\": \"National Vision: retail operator with growth plans but store closures, supplier concentration and significant debt (term loans, convertible notes) \u2014 moderate but manageable near-term risk.\"},\n  {\"score\": 7, \"explanation\": \"Paramount Global: large diversified media conglomerate with substantial market value, governance disclosures and liquidity access \u2014 low near-term bankruptcy likelihood.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 63411,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 217,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 63628
  },
  "user": null,
  "metadata": {}
}
[10:07:00]   Parsed 5 result(s).
[10:07:00]   Calling AI for batch 10 with 5 report(s)…
[10:07:14]   Raw AI response: {
  "id": "resp_68cd0f25674881978f823f55b24704600da8f923a814123f",
  "object": "response",
  "created_at": 1758269221,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f279b448197abb4f2474a430ac00da8f923a814123f",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f2882a081979ef1956c8c224f9c0da8f923a814123f",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 8, \"explanation\": \"Large market cap, diversified industrial services, recent acquisitions/divestitures but manageable risks and access to credit; low near-term default risk.\"},\n  {\"score\": 4, \"explanation\": \"Well-capitalized, profitable HVAC leader with strong market position and large market value; bankruptcy within a year unlikely.\"},\n  {\"score\": 12, \"explanation\": \"Small-cap foundry with concentration risk, capital expenditure and leverage concerns plus pending acquisition; moderate but not imminent bankruptcy risk.\"},\n  {\"score\": 45, \"explanation\": \"Microcap clinical-stage pharma with management turnover, limited cash, dependence on fundraising and no revenues\u2014material near-term bankruptcy risk.\"},\n  {\"score\": 6, \"explanation\": \"Large, profitable marketplace with strong cash, low leverage and network effects; very low one-year bankruptcy probability.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 62132,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 193,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 62325
  },
  "user": null,
  "metadata": {}
}
[10:07:14]   Parsed 5 result(s).
[10:07:14]   Calling AI for batch 11 with 5 report(s)…
[10:07:20]   Raw AI response: {
  "id": "resp_68cd0f3385d081978ce477308504c3bd00ef3a86c316f88e",
  "object": "response",
  "created_at": 1758269235,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f35921481979d82abe3be0959a100ef3a86c316f88e",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f35bc8c819798d21a21c51dab5c00ef3a86c316f88e",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 5, \"explanation\": \"Large regional bank with diversified deposit and loan services, positive liquidity indicators and no red flags in excerpt.\"},\n  {\"score\": 70, \"explanation\": \"Biotech with history of losses, auditor going-concern paragraph, substantial funding needs but late-stage data and upcoming trials\u2014high near-term financing risk.\"},\n  {\"score\": 8, \"explanation\": \"Established drybulk shipping company with sizeable fleet, strong liquidity (cash + revolver), low debt balance and dividend history\u2014bankruptcy unlikely.\"},\n  {\"score\": 6, \"explanation\": \"Regional bank with diversified loan portfolio, regulatory compliance and adequate liquidity references\u2014low short\u2011term bankruptcy risk.\"},\n  {\"score\": 12, \"explanation\": \"Commercial-stage biopharma with approved product and diversified pipeline and collaborations, but ongoing R&D costs; reasonable liquidity and lower near-term insolvency risk.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 66451,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 202,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 66653
  },
  "user": null,
  "metadata": {}
}
[10:07:20]   Parsed 5 result(s).
[10:07:20]   Calling AI for batch 12 with 5 report(s)…
[10:07:31]   Raw AI response: {
  "id": "resp_68cd0f3952b48196b68bbea37e51538b00c11d550ebcb37e",
  "object": "response",
  "created_at": 1758269241,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f3d09608196a171a6d57785445700c11d550ebcb37e",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f3de82c8196b5e89a9414b4b08800c11d550ebcb37e",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[{\"score\":5,\"explanation\":\"Large regulated utility (Entergy) with stable regulated cash flows, diversified subsidiaries and long-dated debt\u2014bankruptcy within a year very unlikely.\"},{\"score:70\",\"explanation\":\"Working capital deficit ~$3.8M, recurring losses, related-party large liabilities including $300k term note with accrued interest due Sept 2025 and substantial doubt about going concern and limited cash; high near-term default risk.\"},{\"score\":10,\"explanation\":\"Late-stage biotech (Arcus) with major collaborations (Gilead), NYSE listing and substantial market value; development risks exist but short-term bankruptcy unlikely.\"},{\"score\":15,\"explanation\":\"Large diversified casino operator (Las Vegas Sands) with significant global operations and debt maturities but strong scale and access to capital; low near-term bankruptcy probability.\"},{\"score\":8,\"explanation\":\"Commercial-stage biopharma (Apellis) with approved products generating significant revenue but operating losses and debt\u2014revenue and market access lower immediate bankruptcy risk.\"}]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 72393,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 217,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 72610
  },
  "user": null,
  "metadata": {}
}
[10:07:31]   Warning: expected JSON array; falling back to numeric parse.
[10:07:31]   Parsed 1 result(s) (expected 5).
[10:07:31]   Calling AI for batch 13 with 5 report(s)…
[10:07:38]   Raw AI response: {
  "id": "resp_68cd0f4458208197a6b16253470f608a018171fe577f038d",
  "object": "response",
  "created_at": 1758269252,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f46d8908197af6168d2e7807ecf018171fe577f038d",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f46fc208197b5fba5163a343587018171fe577f038d",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 5, \"explanation\": \"Large integrated energy company (Phillips 66) with diversified segments, long-dated debt but strong scale and market position; bankruptcy risk very low.\"},\n  {\"score\": 12, \"explanation\": \"Small publicly traded manufacturer with modest backlog, customer concentration and debt but positive equity and ongoing operations; low near-term bankruptcy risk.\"},\n  {\"score\": 18, \"explanation\": \"Emergent BioSolutions: biotech with government contracts, restructuring, material litigation/settlement risks and substantial debt but meaningful revenue and market cap; moderate-low near-term risk.\"},\n  {\"score\": 25, \"explanation\": \"Intuitive Machines: early-stage space company with high execution and contract risk, customer concentration and complex contingent liabilities; elevated but not imminent bankruptcy risk.\"},\n  {\"score\": 3, \"explanation\": \"Huntington Ingalls: large defense prime with stable government revenue, strong backlog and scale despite leverage and pension obligations; very low bankruptcy risk.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 74298,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 220,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 74518
  },
  "user": null,
  "metadata": {}
}
[10:07:38]   Parsed 5 result(s).
